"","time","X","Y","Z"
"1",0,1,1,1
"2",1,0.845209634686075,0.94852612782843,0.987114133481705
"3",2,0.820465950064462,0.84929338290559,0.927470271694931
"4",3,0.877502680509478,0.761173562610943,0.846095577858528
"5",4,0.989498672031702,0.693744817695286,0.767958325630092
"6",5,1.13833340506902,0.645494524686149,0.70351725007328
"7",6,1.30828232449799,0.614539580589663,0.655426072002358
"8",7,1.48254107753098,0.60100611577457,0.62419551474315
"9",8,1.64019475460704,0.607741046697884,0.611042352550995
"10",9,1.75238691091381,0.641121331673636,0.619424361929591
"11",10,1.77855608240309,0.711159468641739,0.655995332466023
"12",11,1.67176087091343,0.824824463468817,0.729157211286993
"13",12,1.42079462704691,0.958274110848244,0.837390886681222
"14",13,1.11959967687716,1.03331457421736,0.944827612409438
"15",14,0.906251241436205,1.00040378729633,0.992879559626629
"16",15,0.822091848785528,0.905960911753699,0.964794577008546
"17",16,0.837834671380119,0.808225283143874,0.892285411277916
"18",17,0.921468330866762,0.729148512267413,0.810444311873625
"19",18,1.05142707084238,0.670516017981148,0.73779095295856
"20",19,1.21122135804538,0.630045434555054,0.680502976782166
"21",20,1.38501076277009,0.606625858457923,0.639816198509588
"22",21,1.55458458345216,0.601502685049648,0.616323897226792
"23",22,1.69607673372472,0.618960857063375,0.612075249079735
"24",23,1.77582205554066,0.667100071158649,0.63186284710926
"25",24,1.74859994106743,0.756229625631589,0.683594096538411
"26",25,1.57491986963777,0.884628590801311,0.773696904010875
"27",26,1.2845120617605,1.00318593859044,0.888228845416326
"28",27,1.00982451830117,1.03027719815795,0.975335244179551
"29",28,0.855003631271039,0.961680677158427,0.988056208188265
"30",29,0.819499957883919,0.861071320836169,0.935525136494708
"31",30,0.868305813163571,0.770755604374189,0.855701742826804
"32",31,0.974422592706131,0.701027385351407,0.77670944866379
"33",32,1.11924465356688,0.650726110759511,0.710605013698187
"34",33,1.28698236398827,0.617837296692559,0.660662939294154
"35",34,1.46110373875445,0.602221725759443,0.627493192033893
"36",35,1.62135860153018,0.606369980160241,0.612151939872772
"37",36,1.74009522487449,0.636175869489938,0.617767466232081
"38",37,1.77832830633754,0.70125620115034,0.650575805240652
"39",38,1.68909399426736,0.809660310708564,0.718975325909983
"40",39,1.4535357682033,0.943183908761869,0.823640950599572
"41",40,1.15201615724312,1.02877703160814,0.933624625067844
"42",41,0.925163694179733,1.00760647473474,0.990355027975242
"43",42,0.827263828914623,0.917290524785658,0.970182721229308
"44",43,0.833147599723055,0.818632951425681,0.901167927965599
"45",44,0.909890671079051,0.737373049236815,0.819498892007599
"46",45,1.03499869431803,0.676638576893322,0.745559388095247
"47",46,1.19167447113708,0.634268859734056,0.686557336650954
"48",47,1.36416001055476,0.608957768202974,0.644056711151794
"49",48,1.53466123531506,0.601660523368398,0.618617812396518
"50",49,1.68016234121916,0.616267024935189,0.612061052268241
"51",50,1.76838116881928,0.660390901826833,0.628806262053314
"52",51,1.75537506494831,0.744303582290461,0.67642076836377
"53",52,1.59922564300343,0.868951260784945,0.761980720881897
"54",53,1.31811940977462,0.992117803471106,0.875135943871334
"55",54,1.03598336833622,1.0315637929147,0.967871272290426
"56",55,0.86695016929134,0.971251203738706,0.989429388303935
"57",56,0.81986017754892,0.871900435255608,0.942704021780578
"58",57,0.860585239211101,0.779874106009004,0.864592190503449
"59",58,0.960999624421562,0.708024817895491,0.784971315469263
"60",59,1.10189475985336,0.655800602062754,0.717377187529894
"61",60,1.26737173687225,0.621115194968652,0.665731201973623
"62",61,1.44111660310629,0.603595518353774,0.630774944148257
"63",62,1.6034487648597,0.605413291590106,0.613439749563209
"64",63,1.72776586275835,0.632029324477561,0.61656713894262
"65",64,1.77653848918925,0.692657416821797,0.646006345505925
"66",65,1.70313997724456,0.796072631423622,0.71005827725313
"67",66,1.48271435702075,0.928737188455675,0.811095022046747
"68",67,1.18285801860563,1.02314927548801,0.922626168403092
"69",68,0.944279146870246,1.01332446654996,0.987006846973715
"70",69,0.833342659635086,0.927641519687721,0.974514083980222
"71",70,0.829696801268879,0.828465739463426,0.909201050910174
"72",71,0.8997883585813,0.745230336382399,0.827955291071274
"73",72,1.02020268257945,0.682526649210062,0.752921939646351
"74",73,1.17380811571356,0.638378506545092,0.692356034635334
"75",74,1.34488418994762,0.611322699446752,0.648181827010106
"76",75,1.51598706505222,0.602052329490902,0.620957870103959
"77",76,1.66484319033617,0.614101729357703,0.612309204563789
"78",77,1.76039346044248,0.654640269858044,0.626325699692499
"79",78,1.7599655558666,0.733804304522468,0.670237079484602
"80",79,1.62003743900188,0.854586602278383,0.751543647400559
"81",80,1.3489933417062,0.980933612081201,0.862880674397233
"82",81,1.0614715804766,1.03150053121939,0.960132117867655
"83",82,0.879407871875301,0.97961118411585,0.989866006339594
"84",83,0.821200224498992,0.881987193623536,0.948953663705123
"85",84,0.854131056894835,0.788532601734987,0.872780748377559
"86",85,0.949052860331592,0.714718230078205,0.792741666994129
"87",86,1.08613693169664,0.660691460851885,0.723818213396143
"88",87,1.24934621655375,0.62433554256678,0.670604138043531
"89",88,1.42254021732529,0.605069712753728,0.6340010305328
"90",89,1.58653134203184,0.604779242809641,0.614843553135443
"91",90,1.71562695023278,0.628540647996952,0.615725878068475
"92",91,1.77362855464311,0.685172243131818,0.642143156824498
"93",92,1.71447209046017,0.783917550638013,0.702240441353355
"94",93,1.50861920492633,0.915085376575347,0.799698622488304
"95",94,1.2119585933463,1.01676750742562,0.911992682773695
"96",95,0.963333936243456,1.01773215864685,0.983051254911636
"97",96,0.840115807167837,0.937050735334477,0.977912551572344
"98",97,0.827299779864311,0.837721681778124,0.916436830843375
"99",98,0.890988282356083,0.752714793086002,0.835831622961956
"100",99,1.00687514270726,0.68817195205913,0.759882613548985
"101",100,1.15746897076121,0.642365589081029,0.697894155067238
